Time(s)	Velocity_X(km/s)	Position_X(km)
6.888888888888889	-3.699273117336308e-05	7099.999872550535
7.0	-3.758895570517403e-05	7099.999868407089
7.0	-3.758895565574717e-05	7099.99986840685
7.2	-3.8662147483067246e-05	7099.999860889058
7.3	-3.9198693435647045e-05	7099.999856888695
7.8	-4.1881367747527926e-05	7099.999836618756
7.888888888888889	-4.235825861052162e-05	7099.999832874947
8.0	-4.2954359810615936e-05	7099.999828135338
8.0	-4.295435976125068e-05	7099.999828135099
8.2	-4.4027329599142674e-05	7099.999819544227
8.3	-4.456376458807155e-05	7099.9998150073725
8.8	-4.724588411615137e-05	7099.999792055037
8.88888888888889	-4.7722676368930544e-05	7099.999787834387
9.0	-4.831865431398224e-05	7099.999782498739
9.0	-4.8318654264678466e-05	7099.999782498499
9.2	-4.939140225114919e-05	7099.999772834769
9.3	-4.99277263454048e-05	7099.999767761535
9.8	-5.260929143454334e-05	7099.9997421273565
9.88888888888889	-5.3085985138401496e-05	7099.999737429963
10.0	-5.3681839905020984e-05	7099.999731498398
10.0	-5.368183985577865e-05	7099.99973149816
10.2	-5.475436612872056e-05	7099.999720761793
10.3	-5.529057939722343e-05	7099.999715152289
10.8	-5.797159039199482e-05	7099.9996868368235
10.88888888888889	-5.844818560817468e-05	7099.999681662785
11.0	-5.904391727290896e-05	7099.999675135427
11.0	-5.9043917223727983e-05	7099.999675135189
11.2	-6.011622192091934e-05	7099.999663326405
11.3	-6.065232443253292e-05	7099.999657180745
11.8	-6.333278167722591e-05	7099.999626184545
11.88888888888889	-6.380927846691947e-05	7099.999620533961
12.0	-6.440488710625215e-05	7099.999613410933
12.0	-6.440488705713248e-05	7099.999613410695
12.2	-6.547697031623744e-05	7099.999600529718
12.3	-6.601296213976814e-05	7099.999593848011
12.8	-6.869286597838641e-05	7099.999560171629
12.88888888888889	-6.916926440273503e-05	7099.999554044597
13.0	-6.976475009308639e-05	7099.999546326022
13.0	-6.976475004402792e-05	7099.999546325785
13.2	-7.083661200259667e-05	7099.999532372834
13.3	-7.137249320679398e-05	7099.999525155191
13.8	-7.40518439830564e-05	7099.9994887991825
13.88888888888889	-7.452814410315079e-05	7099.999482195802
14.0	-7.512350692087785e-05	7099.999473881802
14.0	-7.512350687188055e-05	7099.999473881564
14.2	-7.619514766734942e-05	7099.9994588568625
14.3	-7.673091832090586e-05	7099.999451103393
14.8	-7.940971637824686e-05	7099.99941206831
14.88888888888889	-7.988591825512721e-05	7099.999404988678
15.0	-8.048115827652381e-05	7099.999396079377
15.0	-8.048115822758757e-05	7099.999396079139
15.2	-8.155257799727914e-05	7099.999379982907
15.3	-8.208823816883045e-05	7099.999371693722
15.8	-8.476648385040024e-05	7099.999329980117
15.88888888888889	-8.524258754505622e-05	7099.999322424333
16.0	-8.583770484635303e-05	7099.999312919853
16.0	-8.58377047974778e-05	7099.9993129196155
16.2	-8.690890367860101e-05	7099.999295752074
16.3	-8.744445343672611e-05	7099.999286927285
16.8	-9.012214708539104e-05	7099.99924253571
16.88888888888889	-9.059815265876187e-05	7099.99923450387
17.0	-9.119314731612655e-05	7099.999224404335
17.0	-9.119314726731222e-05	7099.999224404098
17.2	-9.226412539696254e-05	7099.999206165468
17.3	-9.279956481018364e-05	7099.999196805184
17.8	-9.54767067685264e-05	7099.999149736192
17.88888888888889	-9.595261428150085e-05	7099.999141228395
18.0	-9.654748637103803e-05	7099.999130533926
18.0	-9.654748632228458e-05	7099.999130533689
18.2	-9.761824383744409e-05	7099.999111224191
18.3	-9.81535729742267e-05	7099.999101328523
18.8	-0.00010083016358454671	7099.999051582664
